WD,JD,new
33.82608814,122.10291090000001,"122.10291090000001,33.82608814"
33.84236186,122.096327,"122.096327,33.84236186"
33.85863559,122.0899537,"122.0899537,33.85863559"
33.87490932,122.0838032,"122.0838032,33.87490932"
33.89118305,122.0778883,"122.0778883,33.89118305"
33.90745678,122.07222220000001,"122.07222220000001,33.90745678"
33.92373051,122.06681840000002,"122.06681840000002,33.92373051"
33.94000424,122.0616909,"122.0616909,33.94000424"
33.95627797,122.0568541,"122.0568541,33.95627797"
33.97255169,122.05232269999999,"122.05232269999999,33.97255169"
33.98882542,122.04811200000002,"122.04811200000002,33.98882542"
34.00509915,122.04423770000001,"122.04423770000001,34.00509915"
34.02137288,122.0407159,"122.0407159,34.02137288"
34.03764661,122.03756329999999,"122.03756329999999,34.03764661"
34.05392034,122.034797,"122.034797,34.05392034"
34.07019407,122.0324345,"122.0324345,34.07019407"
34.086467799999994,122.0304938,"122.0304938,34.086467799999994"
34.10274153,122.0289935,"122.0289935,34.10274153"
34.11901525,122.0279527,"122.0279527,34.11901525"
34.13528898,122.0273909,"122.0273909,34.13528898"
34.15156271,122.02732830000001,"122.02732830000001,34.15156271"
34.16783644,122.0277855,"122.0277855,34.16783644"
34.18411017,122.02878359999998,"122.02878359999998,34.18411017"
34.2003839,122.03034450000001,"122.03034450000001,34.2003839"
34.21665763,122.03249040000001,"122.03249040000001,34.21665763"
34.23293136,122.0352443,"122.0352443,34.23293136"
34.24920508,122.0386295,"122.0386295,34.24920508"
34.26547881,122.0426703,"122.0426703,34.26547881"
34.28175254,122.0473913,"122.0473913,34.28175254"
34.29802627,122.05281780000001,"122.05281780000001,34.29802627"
34.3143,122.0589757,"122.0589757,34.3143"
